Aboraz Beach (7267,7766) (7213,7819) (7213,7765) (7320,7820) (7321,7725) (7159,7835) (7159,7781) (7159,7727) (7374,7779) (7375,7698) (7133,7899) (7105,7845) (7105,7791) (7105,7737) (7428,7752) (7429,7675) (7051,7820) (7482,7729) (7536,7711) | overflowToLeft=false
Abyssal Sands (2838,7148) (2780,7119) (2780,7176) (2837,7205) (2778,7235) (2721,7237) (2722,7178) (2724,7119) (2771,7059) (2829,7062) (2888,7073) (2894,7132) (2895,7191) (2665,7209) (2952,7197) (2949,7135) (3006,7118) (3010,7174) | overflowToLeft=false
Aerie Peak (7514,2794) (7454,2852) (7515,2856) (7575,2854) (7423,2910) (7482,2911) (7541,2915) (7558,2736) (7497,2730) (7434,2786) (7366,2843) (7574,2793) (7632,2782) (7649,2839) (7599,2911) | overflowToLeft=false
Agamagor (2365,4977) (2306,4910) (2361,4920) (2305,4967) (2392,4864) (2336,4854) (2280,4831) (2224,4787) (2223,4842) (2249,4899) (2247,4957) (2416,4920) (2421,4976) (2400,5033) | overflowToLeft=false
Agamand Mills (6619,1885) (6560,1884) (6477,1937) (6533,1942) (6597,1942) (6683,1820) (6621,1827) (6562,1827) (6498,1815) (6499,1873) (6441,1873) (6397,1954) (6517,1999) (6588,1998) (6575,2057) | overflowToLeft=false
Ahn Quiraj (1011,7771) (986,7713) (1049,7710) (1072,7772) (1037,7829) (978,7829) (952,7769) (927,7711) (893,7770) (920,7826) (925,7652) (985,7652) (1045,7651) (886,7884) (945,7886) (1004,7886) (1095,7830) (1128,7770) (1184,7750) (897,7594) (955,7595) (1103,7609) (1063,7885) | overflowToLeft=false
Ahn Quiraj Reservoir (745,7535) (686,7528) (686,7587) (705,7468) (762,7475) (818,7491) (803,7547) (816,7413) (760,7414) (630,7485) (611,7563) (599,7627) (743,7593) | overflowToLeft=false
Ahn Quiraj South Shore (1273,8233) (1219,8279) (1219,8225) (1326,8287) (1327,8221) (1206,8171) (1165,8260) (1380,8275) (1380,8329) (1152,8206) (1152,8152) (1434,8247) (1434,8301) (1098,8258) (1098,8204) (1098,8150) (1488,8243) (1488,8297) (1044,8237) (1044,8183) (1542,8265) (990,8192) (1596,8284) | overflowToLeft=false
Alcaz Island (3417,5228) (3361,5313) (3416,5284) (3472,5279) (3417,5339) (3474,5336) | overflowToLeft=false
Altar of Zul (7926,2998) (8041,3018) (8051,2926) (7986,2944) (7982,2999) (7869,3010) (7768,3045) (7958,3055) (7893,3068) (7829,3077) (8109,2951) (8106,3008) (8098,3065) | overflowToLeft=false
Alterac Crown (6931,2669) (6891,2725) | overflowToLeft=false
Amani Beach (9126,2096) (9072,2138) (9072,2084) (9179,2150) (9126,2042) (9180,2042) (9180,2096) (9125,2192) (9217,2204) (9140,1988) (9194,1988) (9248,1974) (9163,2246) (9233,2258) (9163,1934) (9217,1920) (9271,1895) (9170,1866) (9274,1841) | overflowToLeft=false
Amani Peaks (9039,1852) (8980,1911) (9039,1917) (9101,1767) (9042,1790) (8982,1845) (9106,1825) (9104,1886) (9097,1949) | overflowToLeft=false
Ambermill (6555,2953) (6601,3008) (6527,3009) (6474,2952) (6470,3009) (6634,2887) (6570,2889) (6511,2891) (6614,2946) (6483,3065) (6544,3065) (6607,3065) (6572,3123) | overflowToLeft=false
Ameth Aran (1524,2304) (1536,2247) (1515,2360) (1580,2339) (1591,2227) (1648,2226) (1533,2190) (1593,2283) (1590,2170) (1647,2170) (1649,2284) (1477,2237) (1465,2292) (1459,2347) (1455,2404) (1408,2254) (1406,2310) (1402,2366) (1355,2423) (1635,2320) | overflowToLeft=false
Andorhall River (7226,2421) | overflowToLeft=false
Angor Fortress (7962,5117) (7909,5181) (7906,5119) (8019,5118) (8076,5112) (8058,5174) (8115,5170) (7846,5128) (7848,5185) (7967,5175) (8073,5229) | overflowToLeft=false
Aqiri Mountains (899,6695) (839,6719) (841,6661) (900,6636) (956,6637) (957,6695) (825,6601) (883,6576) (941,6576) (782,6776) (838,6776) (895,6754) (953,6753) (838,6834) (895,6812) (951,6831) | overflowToLeft=false
Aqiri Pass (726,6541) (762,6595) (708,6595) (716,6487) (662,6456) (770,6441) (766,6649) (712,6649) (716,6433) (770,6387) (752,6703) (698,6703) (674,6379) (728,6333) (782,6333) (726,6757) (662,6325) (672,6761) (709,6815) | overflowToLeft=false
Arathi Coast (8497,3382) (8443,3435) (8443,3381) (8535,3436) (8497,3328) (8551,3328) (8481,3489) (8487,3274) (8541,3274) (8595,3274) (8530,3543) (8476,3543) (8571,3220) (8625,3220) (8422,3585) (8659,3166) | overflowToLeft=false
Arathi Highlands (7635,3209) (7692,3266) (7633,3269) (7573,3269) (7577,3148) (7690,3149) (7693,3206) (7634,3146) (7575,3206) (7520,3164) (7747,3159) (7623,3325) (7684,3325) | overflowToLeft=false
Arathi Ridge (7640,3062) | overflowToLeft=false
Arid Slopes (2196,3966) (2139,3949) (2251,3983) (2195,4022) (2140,4005) (2113,3891) (2083,3948) (2083,4004) (2027,3943) (2026,3998) (1971,3973) (1970,4030) (2195,3910) (2252,4039) (2307,4011) (2308,4067) (2230,4095) (2287,4126) | overflowToLeft=false
Arronto Coast (542,6960) (488,6926) (595,7014) (541,7014) (542,6906) (596,6906) (596,6960) (487,7022) (453,6872) (585,7068) (507,6852) (561,6852) (531,7076) (477,7076) (399,6906) (399,6852) (453,6818) (538,7130) (484,7130) (430,7155) (519,7184) (465,7209) (519,7238) (465,7263) (534,7292) | overflowToLeft=false
